ODBIORCY_ID_FK;KONTA_STATUSY_SYMBOL;DOKUMENT_ID;DOKUMENT_NUMER;KWOTA_BRUTTO_ORYGINAL;KWOTA_NETTO_ORYGINAL;KWOTA_VAT_ORYGINAL;KWOTA_POZOSTALA;DATA_WYSTAWIENIA;DATA_ZAPLATY;DATA_KSIEGOWANIA
1069533;K;28081156;9466101084;-86,65;-70,45;-16,2;-38,31;23/09/2013 00:00:00;07/10/2013 00:00:00;08/11/2018 00:00:00
1070218;K;23135503;9480011375;-382,74;-311,21;-71,53;-38,79;22/11/2012 00:00:00;06/12/2012 00:00:00;08/11/2018 00:00:00
1070218;K;23163042;9466180546;-179,95;-146,31;-33,64;-179,95;05/11/2013 00:00:00;19/11/2013 00:00:00;08/11/2018 00:00:00
1070682;K;23149435;9275010696;-0,65;-0,55;-0,1;-0,65;11/06/2013 00:00:00;25/06/2013 00:00:00;08/11/2018 00:00:00
1070728;K;23143892;9480244476;-36,57;-29,74;-6,83;-8,02;31/05/2013 00:00:00;14/06/2013 00:00:00;08/11/2018 00:00:00
1070924;K;23320717;9530289298;-120,29;-97,78;-22,51;-9,9;16/09/2013 00:00:00;30/09/2013 00:00:00;08/11/2018 00:00:00
1071497;K;23146974;3245023596;-238,55;-193,92;-44,63;-75,21;18/11/2013 00:00:00;02/12/2013 00:00:00;08/11/2018 00:00:00
1071522;K;28135975;9315409219;-137,86;-112,09;-25,77;-97,83;28/11/2012 00:00:00;12/12/2012 00:00:00;08/11/2018 00:00:00
1071667;K;23308329;4115004251;-32,48;-26,41;-6,07;-2,36;04/09/2012 00:00:00;18/09/2012 00:00:00;08/11/2018 00:00:00
1071859;K;23127851;4045414563;-159,28;-129,5;-29,78;-69,79;18/11/2013 00:00:00;18/11/2013 00:00:00;08/11/2018 00:00:00
1072082;K;28274142;7811008708;-48,42;-39,36;-9,06;-48,42;12/03/2014 00:00:00;26/03/2014 00:00:00;08/11/2018 00:00:00
1072689;K;23173166;3225011560;-6,51;-5,3;-1,21;-6,51;07/11/2012 00:00:00;21/11/2012 00:00:00;08/11/2018 00:00:00
1072782;K;23176244;9480421344;-3,01;-2,45;-0,56;-2,87;16/09/2013 00:00:00;30/09/2013 00:00:00;08/11/2018 00:00:00
1073019;K;23163517;0365002939;-37,9;-30,82;-7,08;-30,87;11/02/2013 00:00:00;25/02/2013 00:00:00;08/11/2018 00:00:00
1073079;K;23292559;4225015923;-12,92;-10,5;-2,42;-12,92;24/02/2014 00:00:00;24/02/2014 00:00:00;08/11/2018 00:00:00
1074281;K;23168404;6575074449;-2,38;-1,94;-0,44;-1,78;24/04/2014 00:00:00;08/05/2014 00:00:00;08/11/2018 00:00:00
1074569;K;23128908;4095050227;-0,36;-0,3;-0,06;-0,36;11/02/2014 00:00:00;25/02/2014 00:00:00;08/11/2018 00:00:00
1075029;K;23144938;8245005746;-15,08;-12,25;-2,83;-15,05;31/07/2013 00:00:00;14/08/2013 00:00:00;08/11/2018 00:00:00
1075099;K;28100884;6575072898;-1,66;-1,34;-0,32;-1,66;28/06/2013 00:00:00;12/07/2013 00:00:00;08/11/2018 00:00:00
1075296;K;28671061;8155012841;-15,05;-12,25;-2,8;-15,05;06/11/2013 00:00:00;06/11/2013 00:00:00;08/11/2018 00:00:00
1075574;K;23173160;5035005732;-1,14;-0,93;-0,21;-1,02;24/10/2012 00:00:00;07/11/2012 00:00:00;08/11/2018 00:00:00
1075740;K;23160432;9315474587;-9,46;-7,7;-1,76;-9,46;12/02/2013 00:00:00;26/02/2013 00:00:00;08/11/2018 00:00:00
1076340;K;23171855;0135022663;-18,14;-14,75;-3,39;-18,14;13/03/2014 00:00:00;27/03/2014 00:00:00;08/11/2018 00:00:00
1076397;K;23151535;4045411798;-115,81;-94,16;-21,65;-48,91;26/09/2013 00:00:00;26/09/2013 00:00:00;08/11/2018 00:00:00
1076486;K;23173150;3215087539;-11,81;-9,6;-2,21;-11,31;20/09/2012 00:00:00;04/10/2012 00:00:00;08/11/2018 00:00:00
1076611;K;7380481;7740075448;-275,72;-224,2;-51,52;-38,72;20/03/2015 00:00:00;03/04/2015 00:00:00;08/11/2018 00:00:00
1076617;K;23130989;5690023859;-9,64;-7,91;-1,73;-9,11;23/07/2012 00:00:00;23/07/2012 00:00:00;08/11/2018 00:00:00
1076647;K;23172026;1705021380;-28,67;-23,32;-5,35;-28,52;13/12/2013 00:00:00;27/12/2013 00:00:00;08/11/2018 00:00:00
